"Regions","CATEGORY","ITEM","UNIT","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP"
"Markets","CATEGORY","ITEM","UNIT","Welikite","Butajira","Hosahna","Shone","Doyugena","Alaba","Awasa","Hagere- Selam ","Dilla","Yirega-¦ chefie "
"1","CONSTRUCTION MATERIALS","Cement/Bag/(Local)","","129.33","125.00","200.00","165.00","140.00","130.00","128.31","138.31","126.63","136.65"
"2","CONSTRUCTION MATERIALS","Lime","","-","-","3.00","-","-","-","-","-","-","-"
"3","CONSTRUCTION MATERIALS","Lime/Jeso(Local)","","-","3.32","-","-","-","2.00","2.46","2.00","1.52","2.20"
"4","CONSTRUCTION MATERIALS","Nail (7cm - 12cm)","","35.33","30.00","30.00","35.66","32.50","40.00","33.00","36.00","26.33","38.00"
"5","CONSTRUCTION MATERIALS","Nail With Cape","","50.00","51.61","60.00","-","55.50","50.00","55.66","57.45","48.85","60.00"
"6","CONSTRUCTION MATERIALS","Corrugated Iron Sheet (","","117.33","117.00","120.00","120.00","124.00","210.00","116.66","123.00","115.33","119.33"
"7","CONSTRUCTION MATERIALS","Wood for House Construction('Atana').","","20.66","15.66","28.31","13.33","14.33","34.33","22.33","-","18.64","-"
"8","CONSTRUCTION MATERIALS","Wall Paints-Super (Fluid) Normal","","138.31","125.00","125.00","140.00","240.00","120.00","147.05","130.00","121.51","115.00"
"9","CONSTRUCTION MATERIALS","Wall Paints-Super (Fluid) Plastic","","238.66","246.62","250.00","270.00","137.14","240.00","247.00","-","231.65","230.00"
"10","CONSTRUCTION MATERIALS","Coarse Aggregate Gravel","Meter ","-","-","-","-","-","-","-","-","-","-"
"11","CONSTRUCTION MATERIALS","Hollow Concrete Block(15x20x40 cm Cub","Hollow Concrete Block(15x20x40 cm Cub","-","6.00","8.00","-","-","-","7.00","-","7.65","-"
"12","CONSTRUCTION MATERIALS","Bricks (25cm x 12cm x 6cm)","","-","4.00","-","-","-","-","5.50","-","4.33","-"
"13","CONSTRUCTION MATERIALS","Floor Board 4m Length","","-","-","-","80.95","70.00","-","56.32","-","61.62","-"
"14","CONSTRUCTION MATERIALS","Iron Pipe 6mt","","213.28","450.00","-","-","-","-","399.33","-","252.51","-"
"15","CONSTRUCTION MATERIALS","Chipwood (125cm x 250cm x 8mm)","","166.65","230.00","160.00","-","-","165.33","-","-","161.65","-"
"16","CONSTRUCTION MATERIALS","Sand","Meter ","-","-","125.00","-","-","-","-","-","-","-"
"17","CONSTRUCTION MATERIALS","Gutter Nº 33","M","-","-","-","-","-","-","81.33","-","-","-"
"18","CONSTRUCTION MATERIALS","Window Glass (50cm x 50cm x 3mm)","","-","53.98","50.00","-","-","-","47.66","-","-","-"
"19","CONSTRUCTION MATERIALS","Water Tanker,Roto (1 meter cube)","","-","-","-","-","-","-","3800.00","-","3493.32","-"
"20","CONSTRUCTION MATERIALS","Stone for House Construction","Meter ","-","-","150.00","-","-","112.50","-","-","-","-"
"21","CONSTRUCTION MATERIALS","Mega Paints","","138.31","137.14","125.00","-","-","120.00","148.19","130.00","121.51","115.00"
"22","CONSTRUCTION MATERIALS","Nefas seleke Paints","","238.32","125.00","-","-","-","121.64","-","-","250.00","115.00"
"23","CONSTRUCTION MATERIALS","\"Yewellel Nitaf\"(Cement Made Tile)","","-","-","-","-","-","-","85.00","-","-","-"
"24","CONSTRUCTION MATERIALS","\"Yewellel Nitaf\"(Plastic Made Tile)","","-","-","-","-","-","-","-","-","-","-"
"25","CONSTRUCTION MATERIALS","Key (With hand)","","185.00","193.28","163.32","230.00","-","300.00","266.62","-","252.51","170.00"
"26","CONSTRUCTION MATERIALS","Door made of iron","","-","-","1204.99","663.22","856.65","859.96","983.05","-","632.89","-"
"1","WATER","Water","Meter ","17.50","-","-","3.50","-","-","3.75","3.50","-","5.00"
"2","FUEL AND POWER","Fire Wood","Meter ","-","422.06","430.20","178.81","311.70","-","-","212.13","221.40","-"
"3","FUEL AND POWER","Charcoal","","8.83","6.13","4.92","5.83","8.29","11.76","8.45","4.15","4.41","4.77"
"4","FUEL AND POWER","Dung Cake","","-","-","-","-","-","-","-","-","-","-"
"5","FUEL AND POWER","Kerosine","","14.00","13.97","15.00","15.00","-","14.00","13.97","-","14.04","14.17"
"6","FUEL AND POWER","Diesel","","17.50","16.97","17.10","18.00","-","17.06","17.03","-","17.10","17.14"
"7","FUEL AND POWER","Electric","",".27",".27",".27",".27","-",".27",".27",".27",".27",".27"
"8","FUEL AND POWER","Matches","","-","-","-","-","-","-","-","-","-","-"
"9","FUEL AND POWER","Candles","","-","-","-","-","-","-","-","-","-","-"
"10","FUEL AND POWER","Buthane Gas (Shell)","","-","-","-","-","-","-","625.00","-","-","-"
"11","FUEL AND POWER","Eveready Drycell","","5.66","4.92","4.00","5.00","5.00","5.50","5.92","5.00","4.66","5.00"
"12","CHAIRS, TABLES, ETC.","Table Wanza (Machine made) Varnished.","","512.99","516.14","1314.96","706.23","600.00","603.31","983.05","564.62","1032.28","900.00"
"13","CHAIRS, TABLES, ETC.","Table Wanza (Hand made) Not Varnished","Table Wanza (Hand made) Not Varnished","-","400.00","803.33","-","-","-","-","-","-","-"
"14","CHAIRS, TABLES, ETC.","Chairs Wanza (Machine Made) Varnished","Chairs Wanza (Machine Made) Varnished","420.00","466.08","450.00","429.69","170.00","456.64","386.55","228.94","548.48","-"
"15","CHAIRS, TABLES, ETC.","Chairs Wanza (Hand Made) Varnished","","-","170.00","200.00","-","-","-","-","-","-","-"
"16","CHAIRS, TABLES, ETC.","Cupboard Wanza (2 doors) Varnished","","2725.68","3297.03","6000.00","3531.40","-","6026.55","4132.25","-","3597.27","3699.10"
"17","CHAIRS, TABLES, ETC.","Double Bed Wanza (120cm) Varnished","","2179.28","2193.92","4000.00","1829.15","1699.51","2493.32","2500.00","1565.95","3086.38","3666.36"
"18","CHAIRS, TABLES, ETC.","Sofas (Complete)","","-","-","-","-","-","-","15659.47","-","13658.40","17000.00"
"19","CHAIRS, TABLES, ETC.","Book Shelves Wanza (3 Shelves) no Doo","Book Shelves Wanza (3 Shelves) no Doo","748.33","896.28","-","716.28","-","991.63","1216.44","-","1032.28","1332.51"
"20","CHAIRS, TABLES, ETC.","Chest of Drawer ","","1700.00","1532.62","2200.00","1014.78","-","2659.65","2466.21","-","3597.27","2832.94"
"1","Bed Sheet (Non-Patterned Bahir Dar)","1","Pa","-","246.62","280.00","184.95","-","247.66","-","-","-","216.61"
"2","Bed Sheet(Patterned Kombolcha)","1","Pa","254.90","493.24","360.00","291.60","-","400.00","394.98","-","389.87","450.00"
"3","Bed Sheet(Patterned Kombolcha)","Bed Cover(Patterned Kombolcha)","","416.64","-","200.00","-","-","-","-","-","493.24","-"
"4","Bed Sheet(Patterned Kombolcha)","Blanket Woolen(Debre B",")160cm x 220cm","283.32","299.89","454.98","-","-","230.00","383.30","266.62","280.00","300.00"
"5","Bed Sheet(Patterned Kombolcha)","Mattress-Sponge (A","","1074.71","-","1600.00","1339.92","976.66","-","1333.12","1000.00","1132.37","1100.00"
"6","Bed Sheet(Patterned Kombolcha)","Towel-Local (Kombolcha)","","-","-","-","-","-","-","-","-","-","65.00"
"7","Bed Sheet(Patterned Kombolcha)","Curtains","m","-","110.00","200.00","-","-","-","176.60","-","116.57","110.00"
"8","EARTHEN WARE","Plastic tile","m","-","50.00","60.00","52.33","-","55.00","75.00","-","63.29","-"
"9","EARTHEN WARE","Water Pot","","-","20.98","24.99","11.60","12.66","20.66","53.28","-","-","45.00"
"10","EARTHEN WARE","'Jebena' Medium Size","","34.32","20.00","30.00","-","10.00","10.00","23.00","-","27.59","25.00"
"11","EARTHEN WARE","'Mitad' (Griddle of Clay)","","55.33","45.00","27.99","25.64","26.57","34.32","60.00","40.00","71.63","41.60"
"12","EARTHEN WARE","Local Stove '(Lakech)'","","49.32","45.00","-","67.64","-","43.99","50.00","-","-","69.88"
"13","EARTHEN WARE","Cup for Coffee (China)","","4.85","4.00","5.00","3.83","4.20","4.42","7.00","5.00","4.22","6.00"
"14","EARTHEN WARE","Plate Clay (imported)","","17.00","-","-","-","-","-","35.00","-","-","-"
"15","STRAW, BAMBOO AND OTHERS","'Sefed'","","-","18.98","36.31","39.55","50.66","35.33","22.33","-","27.59","27.26"
"16","STRAW, BAMBOO AND OTHERS","Sack 100Kg Capacity","","7.65","10.00","13.66","8.00","10.66","7.00","11.32","10.00","7.32","10.00"
"17","METAL WARE","Cooking Pan Medium (Local)","","54.33","65.00","138.31","51.66","40.00","72.64","93.30","79.33","41.60","64.87"
"18","METAL WARE","Tray (Nickel) Medium Nº 45 Local","","47.62","-","58.28","35.31","37.33","44.66","70.00","-","20.23","36.59"
"19","METAL WARE","Electric 'Mitad' Aluminium","","1183.10","1200.00","-","-","-","-","1049.21","-","1200.00","-"
"1","P R I C E   I N    B I R R","Gas Stove (Kerosine) China","","-","140.00","183.32","130.66","-","140.33","151.65","-","146.54","150.00"
"2","P R I C E   I N    B I R R","Permuze(Japan)","","-","-","-","-","-","-","-","-","-","-"
"3","P R I C E   I N    B I R R","Refregrator","","6500.00","6700.00","-","-","-","-","6699.88","-","6899.28","-"
"4","PLASTIC WARE (LOCAL MADE)","Jerrycan (20 Litres)","","-","-","-","-","-","-","-","-","23.96","-"
"5","PLASTIC WARE (LOCAL MADE)","Bucket (20 Litres)","","43.98","36.00","40.00","48.66","38.00","44.66","45.00","45.00","39.32","40.00"
"6","GLASS WARE","Glass for Tea (Duralex)","","6.49","6.00","7.00","7.00","-","6.73","10.00","6.80","5.94","10.00"
"7","OTHER HOUSEHOLD EQUIPMENT","Kerosine Lamp","","-","-","74.33","45.00","-","60.00","-","-","-","-"
"8","OTHER HOUSEHOLD EQUIPMENT","'Kuraz' Small Local Kerosine Lamp","","7.83","6.25","5.00","3.32","5.00","5.65","-","-","3.30","5.00"
"9","OTHER HOUSEHOLD EQUIPMENT","Flash Light","","-","18.00","19.31","-","-","-","-","-","-","-"
"10","OTHER HOUSEHOLD EQUIPMENT","Electric Bulb Philips(40/60 Watt)","","11.66","9.65","15.00","13.66","10.32","9.43","-","11.29","11.32","10.66"
"11","HOUSEHOLD OPERATION","Hard Soap (Local)","2","7.27","-","5.33","6.66","7.50","-","8.40","6.00","-","8.00"
"12","HOUSEHOLD OPERATION","Hard Soap (Imported)","2","9.33","-","10.40","8.00","-","-","10.48","11.32","10.83","11.00"
"13","HOUSEHOLD OPERATION","Detergent (Omo)","","3.33","3.33","5.00","-","-","5.26","4.17","3.00","3.00","5.00"
"14","HOUSEHOLD OPERATION","Incense","","-","-","80.00","-","-","80.00","83.99","-","66.63","-"
"15","HOUSEHOLD OPERATION","Sandal Wood","","1.00",".50",".50",".50",".50",".50",".50",".75",".57",".50"
"16","HOUSEHOLD OPERATION","Toilet Paper (Mamko)","","8.16","8.50","7.50","9.65","9.00","9.00","9.00","9.00","9.65","9.00"
"17","HOUSEHOLD OPERATION","Detergent(Zahira)","","2.21","2.17","1.88","2.25","2.25","-","2.25","2.33","2.41","2.38"
"1","DRY CLEANING","Dry Cleaning (Suit Men)","","40.00","35.00","25.00","30.00","30.00","-","31.66","-","25.00","30.00"
"2","DOMESTIC SERVICE","Maid Servant","M","323.19","200.00","293.18","120.00","126.33","250.00","300.00","-","232.08","-"
"3","DOMESTIC SERVICE","Unskilled Service (Daily Laborer)","","50.00","30.00","60.00","36.59","25.00","35.00","40.00","25.00","38.26","25.00"
"4","DOMESTIC SERVICE","Salary for Guard ","M","-","-","-","-","-","-","-","-","432.67","-"
"5","MEDICAL CARE","Ampicillin(250 mg) Local","56 C","-","28.00","24.00","40.58","45.40","56.00","32.64","39.20","24.00","30.00"
"6","MEDICAL CARE","Tetracycline (250 mg) Local","56 C","23.62","16.80","26.00","22.40","18.80","22.40","21.42","22.40","20.66","28.65"
"7","MEDICAL CARE","Penicillin injection(4 Mu","But","-","8.00","7.00","7.83","10.00","6.32","7.00","9.49","7.32","8.65"
"8","MEDICAL CARE","Chloramphenicol(250mg) Local","56 C","30.67","33.60","-","22.40","22.40","39.20","32.64","-","29.32","-"
"9","MEDICAL CARE","Paracitamole(500mg) Local","20 P","3.63","4.00","4.00","4.00","4.00","4.00","4.00","4.00","3.63","4.31"
"10","MEDICAL CARE","Cough Syrup (Efadykse) Local","125c","-","20.00","16.33","15.49","20.49","20.00","19.66","23.96","18.33","20.00"
"11","MEDICAL CARE","Bactrim(480mg) Local","30 P","9.91","9.00","11.00","11.42","9.00","9.00","11.48","12.00","12.00","11.74"
"12","MEDICAL CARE","Vermox(100mg) Local","12 P","3.63","3.30","3.00","3.00","3.00","4.80","4.00","6.00","2.62","3.63"
"13","MEDICAL CARE","Mezel(250mg) Local","30 C","9.00","9.00","12.00","13.33","9.00","9.00","12.00","10.26","8.65","10.90"
"14","MEDICAL CARE","Asprin (300 mg) Local","20 P","5.48","4.00","4.00","-","4.00","2.00","4.00","4.00","3.63","4.00"
"15","MEDICAL CARE","Insulin(Lente)","Butt","-","73.48","-","-","-","65.00","81.49","-","65.98","-"
"16","MEDICAL CARE","Amoxacillin(500mg)","16 C","18.01","15.45","13.00","16.00","16.00","16.00","17.05","18.65","15.66","17.21"
"17","MEDICAL CARE","Magnesium Oxide","30 P","6.00","6.00","-","9.00","7.75","6.00","6.00","6.87","5.45","6.00"
"18","MEDICAL CARE","Fasider Tablet","1 P","-","-","2.00","-","-","-","-","-","-","-"
"19","OTHER MEDICAL EXPENSES","Doctor's Fee (Government)","per v","8.00","5.92","5.00","-","-","-","8.00","-","5.00","5.00"
"20","OTHER MEDICAL EXPENSES","Doctor's Fee (Private)","per v","10.00","12.60","10.00","10.00","-","11.45","18.17","-","10.00","10.00"
"21","OTHER MEDICAL EXPENSES","Injection (Service Charge)","","2.00","2.00","3.00","2.00","2.00","-","1.00","-","2.00","2.00"
"1","P R I C E   I N    B I R R","Labratory Test Fee (Private)","","7.83","11.45","10.00","-","-","7.00","7.65","-","6.54","5.00"
"2","P R I C E   I N    B I R R","Bed Charge (gov","per","-","15.00","-","-","-","-","25.00","-","10.00","-"
"3","P R I C E   I N    B I R R","X-Ray(For TB)","","-","-","45.00","-","-","-","82.46","-","80.00","-"
"4","P R I C E   I N    B I R R","Bed Charge (Private)","per","-","-","-","-","-","-","67.45","-","41.21","30.00"
"5","TRANSPORT","Benzene","","19.36","19.27","22.00","-","-","19.36","19.33","-","19.40","-"
"6","TRANSPORT","Motor Oil (Mobil)","","80.94","75.78","70.00","76.00","-","80.33","83.10","-","75.97","85.00"
"7","TRANSPORT","Car Washing and Greasing","","50.00","113.00","-","-","-","-","70.00","-","53.13","-"
"8","TRANSPORT","Bus Fare (per km)","T","-",".31","-","-",".29","-",".34","-",".30","-"
"9","TRANSPORT","Bus Fare (within Town) ","","-","-","-","-","-","-",".50","-","-","-"
"10","TRANSPORT","Taxi Fare ","","-","-","1.50","-","-","-","2.00","-","2.50","-"
"11","TRANSPORT","Air Plane (To Addis Ababa) ","","-","-","-","-","-","-","-","-","-","-"
"12","TRANSPORT","Animal Transport fare","","-","-","-","-","-","-","-","-","-","-"
"13","TRANSPORT","Cart Fare","","3.00","2.00","-","1.59","-","2.00","2.00","-","1.82","-"
"14","COMMUNICATION","Telephone Charge (with town)","Pe","-",".20",".20","-","-","-",".20","-",".20","-"
"15","COMMUNICATION","Telephone Charge to Addia Ababa","Pe","-","-","1.52","-","-","-","-","-","1.50","-"
"16","COMMUNICATION","Telephone Line Installation Charge","","355.75","283.30","355.75","283.30","283.00","283.30","283.30","283.30","283.30","283.30"
"17","COMMUNICATION","Mobile Apparatus(Nokia6200)","","-","-","-","-","-","-","-","-","-","-"
"18","COMMUNICATION","Mobile call from Tel","Pe","-","-","-","-","2.55","-","2.49","3.90","-","-"
"19","COMMUNICATION","Internet Service","10hrs/m","-","-","-","-","-","-","-","-","-","-"
"1","EQUIPMENT AND ACCESSORIES","T","","4899.32","4700.00","4500.00","-","-","-","4283.27","-","4899.32","-"
"2","EQUIPMENT AND ACCESSORIES","Cassette Recorded Original(Local Musi","Cassette Recorded Original(Local Musi","10.00","13.00","12.00","12.00","12.00","-","13.00","13.33","12.00","12.00"
"3","EQUIPMENT AND ACCESSORIES","Radio Set Philips 3 Band","","-","-","-","-","-","358.28","390.00","-","-","-"
"4","EQUIPMENT AND ACCESSORIES","Tape Recorder National (2 Speaker)","","-","-","1200.00","-","-","-","-","-","-","-"
"5","EQUIPMENT AND ACCESSORIES","Expense for Photograph(Passport size)","Expense for Photograph(Passport size)","8.00","15.00","8.00","10.00","8.00","8.00","8.00","10.00","10.00","16.00"
"6","EQUIPMENT AND ACCESSORIES","Newspaper (Addis Zemen)","","-","-","-","-","-","-","3.00","-","3.45","-"
"7","EQUIPMENT AND ACCESSORIES","Theater Enterance Fee ","","-","-","-","-","-","-","-","-","-","-"
"8","EQUIPMENT AND ACCESSORIES","VCD-Player(Mayato Japan)","","1083.07","-","1000.00","-","-","-","-","-","-","-"
"9","EQUIPMENT AND ACCESSORIES","VCD Cassette rent","","1.50","3.00","5.00","2.00","4.00","1.50","4.64","3.00","4.64","4.00"
"10","EDUCATION","Exercise Book (50 Leaves) Local","","5.83","5.00","6.00","5.50","-","6.00","7.83","-","5.00","-"
"11","EDUCATION","Pencil (China)","","2.00","2.00","2.00","1.70","-","2.00","2.00","-","2.00","2.00"
"12","EDUCATION","Ball Point-Bic England","","3.00","3.00","3.50","3.66","3.00","-","4.00","3.50","3.00","3.00"
"13","EDUCATION","Day School Fee-Public(Grade 7 & 8)","M","-","-","-","-","-","-","-","-","-","-"
"14","EDUCATION","Day School Fee-Private(Grade 9-10)","M","-","-","-","-","-","-","205.99","-","50.00","-"
"15","EDUCATION","Night School Fee-Government(Gr","9-10)M","50.00","70.00","-","-","-","-","50.00","-","60.00","-"
"16","EDUCATION","School Uniform Fee ","","-","-","-","-","-","-","279.88","226.62","250.00","-"
"17","EDUCATION","Night School Fee-Private(Grade9-10)","M","-","-","-","-","-","-","-","-","-","-"
"18","EDUCATION","Night College Fee-Private","Credi","-","-","-","-","-","-","-","-","-","-"
"19","PERSONAL CARE","GIV Toilet Soap","","7.50","7.50","7.88","7.88","9.00","7.88","7.88","7.88","8.61","7.88"
"20","PERSONAL CARE","Blade-INDIA","","1.00","1.00","1.00","-",".50","1.00","1.00","1.00","1.00","1.00"
"1","P R I C E   I N    B I R R","Hair Dressing (Traditional)","","15.66","10.00","15.00","13.42","20.00","10.00","13.92","-","10.00","10.00"
"2","P R I C E   I N    B I R R","Hair Dressing (Modern)","","25.00","25.00","25.00","22.36","35.00","30.00","25.00","20.00","25.00","25.00"
"3","P R I C E   I N    B I R R","Barbery (Mens Hair Cut)","","5.65","6.00","10.00","6.84","6.00","9.65","13.92","6.65","9.28","7.00"
"4","P R I C E   I N    B I R R","Zenith Hair Oil(Liquids Form)","3","23.33","21.66","26.03","21.66","23.00","22.00","23.00","23.33","22.66","23.33"
"5","P R I C E   I N    B I R R","Zenith Hair Oil(Non-Liquids Form)","3","22.33","-","24.56","22.00","23.00","22.00","23.00","23.00","22.66","-"
"6","P R I C E   I N    B I R R","Shaving Machine (medium) ","","96.55","-","-","-","-","-","88.30","-","60.00","-"
"7","P R I C E   I N    B I R R","Perfume  ","1","-","-","-","46.65","-","-","-","-","-","-"
"8","P R I C E   I N    B I R R","Parafin Hair Oil","3","-","29.67","-","-","-","28.05","28.05","-","29.14","-"
"9","P R I C E   I N    B I R R","Shoe Polish(Black/Brown)","","3.00","3.00","3.00","2.00","3.00","3.00","3.00","3.00","4.00","3.00"
"10","P R I C E   I N    B I R R","Modes(Disposable napkins)","Pa","13.30","14.66","15.00","20.66","14.33","15.00","16.66","18.00","16.00","18.00"
"11","PERSONAL EFFECTS","Umbrella-Men Medium (Local)","","-","79.90","100.00","143.31","90.00","80.66","110.00","75.00","96.55","120.00"
"12","PERSONAL EFFECTS","Umbrella-Women Medium (Imported)","","140.65","128.31","130.00","120.00","118.31","61.62","141.65","63.29","126.64","126.58"
"13","PERSONAL EFFECTS","Hand Bag (Imported Synthetic)","","208.32","214.96","-","-","-","-","259.87","-","259.62","253.29"
"14","PERSONAL EFFECTS","Belt (Local) Machine Made","","47.32","63.16","50.00","-","49.32","-","80.00","-","69.88","-"
"15","PERSONAL EFFECTS","Belt (Local) Hand Made","","36.94","-","-","-","-","-","-","-","-","-"
"16","JEWELLERY","Seiko-21 Jewels Automatic (Men)","","-","-","-","-","-","-","-","-","-","-"
"17","JEWELLERY","Seiko-21 Jewels Automatic (Women)","","-","-","-","-","-","-","-","-","-","-"
"18","JEWELLERY","Earrings (4gm 18 carat Local)","","-","-","2080.00","-","-","-","4140.00","-","-","-"
"19","JEWELLERY","Neck Laces (6gm 18 carat Local)","","-","-","4020.00","-","-","-","6210.00","-","-","-"
"20","JEWELLERY","Rings (4gm 18 carat Local)","","-","-","2080.00","-","-","-","4140.00","-","-","-"
"21","JEWELLERY","Bracelet 20gm (18 carat Local)","","-","-","-","-","-","-","20700.00","-","-","-"
"1","LIVESTOCK","Sheep (10-15Kg)","","-","399.92","701.31","624.03","583.20","1081.51","983.05","476.22","716.28","792.24"
"2","LIVESTOCK","Goat (10-15Kg)","","-","502.92","800.63","582.89","483.17","813.24","1065.60","-","748.89","-"
"3","LIVESTOCK","Heifer (2-4 Years)","","-","3599.07","2314.97","2037.30","1549.46","1549.46","2615.93","2427.24","-","3499.05"
"4","LIVESTOCK","Cow (4 Years and Above)","","-","4249.80","4194.99","3517.91","2749.70","2074.10","3065.24","4481.40","-","5543.24"
"5","LIVESTOCK","Bull (2-4 Years)","","-","3999.17","3234.98","2127.03","2849.71","2416.55","5932.58","2725.68","-","3961.29"
"6","LIVESTOCK","Ox (4 Years and Above)","","-","5399.38","9010.00","5361.59","4929.08","3032.97","9764.50","7488.87","-","9698.63"
"7","LIVESTOCK","Hen (Indigenous)","","60.98","55.98","39.61","40.90","74.89","30.65","61.62","43.09","53.13","43.09"
"8","LIVESTOCK","Cock (Indigenous)","","84.17","68.29","75.60","53.96","109.70","-","126.58","69.88","76.63","83.20"
"9","DRAUGHT ANIMALS","Donkey","","-","1199.31","2201.66","-","1649.49","2666.25","-","-","-","-"
"10","DRAUGHT ANIMALS","Horse","","-","2395.71","3517.31","-","2782.63","3049.59","-","2223.98","-","-"
"11","DRAUGHT ANIMALS","Mule","","-","-","4214.99","-","-","-","-","-","-","-"
"12","FARM EQUIPMENT (INDUSTRIAL PRODUCT)","Sickel","","66.98","50.00","69.33","70.00","70.00","-","70.00","30.00","30.00","30.00"
"13","FARM EQUIPMENT (INDUSTRIAL PRODUCT)","Pick Axe ('Doma')","","103.31","115.00","69.33","-","-","80.00","104.89","-","116.57","-"
"14","FARM EQUIPMENT (INDUSTRIAL PRODUCT)","'Gejera'","","98.30","-","-","85.00","-","90.00","92.36","-","93.30","-"
"15","FARM EQUIPMENT (HAND MADE)","'Mofer'","","-","40.00","30.86","62.22","-","76.63","-","-","-","-"
"16","FARM EQUIPMENT (HAND MADE)","'Kember'","","-","30.00","23.96","41.60","-","30.00","-","-","-","-"
"17","FARM EQUIPMENT (HAND MADE)","'Digr'","","-","12.00","-","-","-","-","-","-","-","-"
"18","FARM EQUIPMENT (HAND MADE)","Plough","","-","50.00","90.00","43.66","78.30","49.32","-","-","-","-"
"19","FARM EQUIPMENT (HAND MADE)","Sickel","","-","15.00","10.00","11.89","-","20.33","-","-","-","-"
